DateTime,WindSpeed,PowerGenerated
2017-01-02 09:15:00,7.06062,21520
2017-01-02 09:30:00,7.16677,15920
2017-01-02 09:45:00,7.15946,14320
2017-01-02 10:00:00,7.15214,12560
2017-01-02 10:15:00,7.14483,8480
2017-01-02 10:30:00,7.13752,6560
2017-01-02 10:45:00,7.13647,6480
2017-01-02 11:00:00,7.13543,7280
2017-01-02 11:15:00,7.13438,9120
2017-01-02 11:30:00,7.13333,12320
2017-01-02 11:45:00,7.17208,16240
2017-01-02 12:00:00,7.21082,18160
2017-01-02 12:15:00,7.24957,18720
2017-01-02 12:30:00,7.28832,18960
2017-01-02 12:45:00,7.25659,20400
2017-01-02 13:00:00,7.22487,22400
2017-01-02 13:15:00,7.19314,21840
2017-01-02 13:30:00,7.16141,20240
2017-01-02 13:45:00,7.10324,19840
2017-01-02 14:00:00,7.04507,18560
2017-01-02 14:15:00,6.9869,19280
2017-01-02 14:30:00,6.92872,20240
2017-01-02 14:45:00,6.79571,19360
2017-01-02 15:00:00,6.6627,18880
2017-01-02 15:15:00,6.52969,16000
2017-01-02 15:30:00,6.39667,15440
2017-01-02 15:45:00,6.34703,14880
2017-01-02 16:00:00,6.29739,14480
2017-01-02 16:15:00,6.24774,15120
2017-01-02 16:30:00,6.1981,15280
2017-01-02 16:45:00,6.02359,15920
2017-01-02 17:00:00,5.84908,16160
2017-01-02 17:15:00,5.67458,16080
2017-01-02 17:30:00,5.50007,16480
2017-01-02 17:45:00,5.72912,18080
2017-01-02 18:00:00,5.95818,20240
2017-01-02 18:15:00,6.18724,23440
2017-01-02 18:30:00,6.41629,27440
2017-01-02 18:45:00,6.47486,30000
2017-01-02 19:00:00,6.53343,35760
2017-01-02 19:15:00,6.592,40640
2017-01-02 19:30:00,6.65057,42720
2017-01-02 19:45:00,6.83301,42800
2017-01-02 20:00:00,7.01544,41360
2017-01-02 20:15:00,7.19788,43920
2017-01-02 20:30:00,7.38032,45920
2017-01-02 20:45:00,7.4431,44320
2017-01-02 21:00:00,7.50588,44640
2017-01-02 21:15:00,7.56867,43440
2017-01-02 21:30:00,7.63145,43520
2017-01-02 21:45:00,7.68155,40320
2017-01-02 22:00:00,7.73165,36000
2017-01-02 22:15:00,7.78175,32160
2017-01-02 22:30:00,7.83185,32880
2017-01-02 22:45:00,7.86053,33520
2017-01-02 23:00:00,7.88922,35120
2017-01-02 23:15:00,7.9179,36640
2017-01-02 23:30:00,7.94658,34960
2017-01-02 23:45:00,7.97161,33920
2017-01-03 00:00:00,7.07062,35520
2017-01-03 00:15:00,6.99338,35760
2017-01-03 00:30:00,6.91613,35200
2017-01-03 00:45:00,7.40475,34160
2017-01-03 01:00:00,7.89337,33920
2017-01-03 01:15:00,8.38199,33440
2017-01-03 01:30:00,8.8706,33840
2017-01-03 01:45:00,8.69783,34560
2017-01-03 02:00:00,8.52505,36720
2017-01-03 02:15:00,8.35227,36320
2017-01-03 02:30:00,8.17949,34640
2017-01-03 02:45:00,8.263,35520
2017-01-03 03:00:00,8.34651,37360
2017-01-03 03:15:00,8.43002,39520
2017-01-03 03:30:00,8.51354,41520
2017-01-03 03:45:00,8.47392,40560
2017-01-03 04:00:00,8.43431,38080
2017-01-03 04:15:00,8.3947,37120
2017-01-03 04:30:00,8.35508,41840
2017-01-03 04:45:00,8.30045,51760
2017-01-03 05:00:00,8.24582,63200
2017-01-03 05:15:00,8.19119,65680
2017-01-03 05:30:00,8.13655,61120
2017-01-03 05:45:00,8.15095,57840
2017-01-03 06:00:00,8.16535,55760
2017-01-03 06:15:00,8.17974,56880
2017-01-03 06:30:00,8.19414,58240
2017-01-03 06:45:00,8.2314,62720
2017-01-03 07:00:00,8.26867,59840
2017-01-03 07:15:00,8.30593,57600
2017-01-03 07:30:00,8.3432,59520
2017-01-03 07:45:00,7.89711,60400
2017-01-03 08:00:00,7.45103,64640
2017-01-03 08:15:00,7.00495,68960
2017-01-03 08:30:00,6.55887,71120
2017-01-03 08:45:00,6.62291,72240
2017-01-03 09:00:00,6.68695,64240
2017-01-03 09:15:00,6.75099,50960
2017-01-03 09:30:00,6.81504,41920
2017-01-03 09:45:00,7.02718,38000
2017-01-03 10:00:00,7.23932,37600
2017-01-03 10:15:00,7.45146,34880
2017-01-03 10:30:00,7.6636,33920
2017-01-03 10:45:00,7.64491,34960
2017-01-03 11:00:00,7.62623,35200
2017-01-03 11:15:00,7.60754,37200
2017-01-03 11:30:00,7.58885,37760
2017-01-03 11:45:00,7.47612,37200
2017-01-03 12:00:00,7.36338,35120
2017-01-03 12:15:00,7.25065,32720
2017-01-03 12:30:00,7.13791,31280
2017-01-03 12:45:00,7.0935,28240
2017-01-03 13:00:00,7.04908,26160
2017-01-03 13:15:00,7.00467,24560
2017-01-03 13:30:00,6.96025,23360
2017-01-03 13:45:00,6.91091,21440
2017-01-03 14:00:00,6.86158,20560
2017-01-03 14:15:00,6.81224,20080
2017-01-03 14:30:00,6.7629,18080
2017-01-03 14:45:00,6.72389,15680
2017-01-03 15:00:00,6.68487,14080
2017-01-03 15:15:00,6.64586,11600
2017-01-03 15:30:00,6.60685,11280
2017-01-03 15:45:00,6.45289,10000
2017-01-03 16:00:00,6.29893,8320
2017-01-03 16:15:00,6.14497,8800
2017-01-03 16:30:00,5.99101,9680
2017-01-03 16:45:00,5.80849,9360
2017-01-03 17:00:00,5.62596,9920
2017-01-03 17:15:00,5.44344,8400
2017-01-03 17:30:00,5.26092,7680
2017-01-03 17:45:00,5.31101,7120
2017-01-03 18:00:00,5.36111,6880
2017-01-03 18:15:00,5.41121,6400
2017-01-03 18:30:00,5.46131,6800
2017-01-03 18:45:00,5.26127,7520
2017-01-03 19:00:00,5.06122,6800
2017-01-03 19:15:00,4.86118,5760
2017-01-03 19:30:00,4.66114,5280
2017-01-03 19:45:00,4.29685,4720
2017-01-03 20:00:00,3.93256,4560
2017-01-03 20:15:00,3.56826,6400
2017-01-03 20:30:00,3.20397,7520
2017-01-03 20:45:00,3.37305,9120
2017-01-03 21:00:00,3.54213,11360
2017-01-03 21:15:00,3.7112,14080
2017-01-03 21:30:00,3.88028,13600
2017-01-03 21:45:00,3.92591,12080
2017-01-03 22:00:00,3.97154,9920
2017-01-03 22:15:00,4.01717,6240
2017-01-03 22:30:00,4.0628,1680
2017-01-03 22:45:00,4.0729,0
2017-01-03 23:00:00,4.08299,0
2017-01-03 23:15:00,4.09309,0
2017-01-03 23:30:00,4.10318,0
2017-01-03 23:45:00,4.07768,0
2017-01-04 00:00:00,5.59692,0
2017-01-04 00:15:00,6.06688,0
2017-01-04 00:30:00,6.53684,800
2017-01-04 00:45:00,6.85456,2880
2017-01-04 01:00:00,7.17229,6160
2017-01-04 01:15:00,7.49001,11040
2017-01-04 01:30:00,7.80773,14160
2017-01-04 01:45:00,7.87407,14480
2017-01-04 02:00:00,7.94041,15280
2017-01-04 02:15:00,8.00674,16080
2017-01-04 02:30:00,8.07308,17440
2017-01-04 02:45:00,7.99951,18320
2017-01-04 03:00:00,7.92593,18320
2017-01-04 03:15:00,7.85235,14400
2017-01-04 03:30:00,7.77878,10000
2017-01-04 03:45:00,7.6399,6880
2017-01-04 04:00:00,7.50103,5440
2017-01-04 04:15:00,7.36215,5520
2017-01-04 04:30:00,7.22328,6080
2017-01-04 04:45:00,7.05759,5360
2017-01-04 05:00:00,6.8919,4320
2017-01-04 05:15:00,6.72622,2880
2017-01-04 05:30:00,6.56053,1920
2017-01-04 05:45:00,6.39366,1360
2017-01-04 06:00:00,6.2268,1680
2017-01-04 06:15:00,6.05994,1920
2017-01-04 06:30:00,5.89307,2000
2017-01-04 06:45:00,5.70778,1760
2017-01-04 07:00:00,5.52248,2400
2017-01-04 07:15:00,5.33718,3280
2017-01-04 07:30:00,5.15189,3520
2017-01-04 07:45:00,4.77234,3120
2017-01-04 08:00:00,4.39279,2560
2017-01-04 08:15:00,4.01324,2960
2017-01-04 08:30:00,3.63369,3120
2017-01-04 08:45:00,3.27129,2640
2017-01-04 09:00:00,2.90888,1520
2017-01-04 09:15:00,2.54648,400
2017-01-04 09:30:00,2.18408,0
2017-01-04 09:45:00,2.41067,0
2017-01-04 10:00:00,2.63726,0
2017-01-04 10:15:00,2.86385,0
2017-01-04 10:30:00,3.09045,0
2017-01-04 10:45:00,3.08565,0
2017-01-04 11:00:00,3.08085,0
2017-01-04 11:15:00,3.07605,0
2017-01-04 11:30:00,3.07125,0
2017-01-04 11:45:00,2.93213,0
2017-01-04 12:00:00,2.79302,0
2017-01-04 12:15:00,2.6539,0
2017-01-04 12:30:00,2.51478,0
2017-01-04 12:45:00,2.37427,0
2017-01-04 13:00:00,2.23376,0
2017-01-04 13:15:00,2.09325,0
2017-01-04 13:30:00,1.95273,0
2017-01-04 13:45:00,1.87331,0
2017-01-04 14:00:00,1.79389,0
2017-01-04 14:15:00,1.71446,0
2017-01-04 14:30:00,1.63504,0
2017-01-04 14:45:00,1.65787,0
2017-01-04 15:00:00,1.68071,0
2017-01-04 15:15:00,1.70354,0
2017-01-04 15:30:00,1.72637,0
2017-01-04 15:45:00,1.75441,0
2017-01-04 16:00:00,1.78245,0
2017-01-04 16:15:00,1.81049,0
2017-01-04 16:30:00,1.83853,160
2017-01-04 16:45:00,2.37441,480
2017-01-04 17:00:00,2.91029,480
2017-01-04 17:15:00,3.44618,1120
2017-01-04 17:30:00,3.98206,2160
2017-01-04 17:45:00,4.65718,5760
2017-01-04 18:00:00,5.3323,10720
2017-01-04 18:15:00,6.00742,14800
2017-01-04 18:30:00,6.68255,17600
2017-01-04 18:45:00,6.39282,20560
2017-01-04 19:00:00,6.1031,19520
2017-01-04 19:15:00,5.81337,20400
2017-01-04 19:30:00,5.52365,21440
2017-01-04 19:45:00,5.2094,22960
2017-01-04 20:00:00,4.89515,22480
2017-01-04 20:15:00,4.5809,23520
2017-01-04 20:30:00,4.26665,25520
2017-01-04 20:45:00,4.0493,31040
2017-01-04 21:00:00,3.83195,32800
2017-01-04 21:15:00,3.6146,33440
2017-01-04 21:30:00,3.39725,35600
2017-01-04 21:45:00,4.46852,38480
2017-01-04 22:00:00,5.5398,41840
2017-01-04 22:15:00,6.61108,40000
2017-01-04 22:30:00,7.68235,36800
2017-01-04 22:45:00,7.84355,30240
2017-01-04 23:00:00,8.00475,22880
2017-01-04 23:15:00,8.16595,18160
2017-01-04 23:30:00,8.32714,15920
2017-01-04 23:45:00,8.6923,14480
2017-01-05 00:00:00,7.99313,13760
2017-01-05 00:15:00,8.24529,13920
2017-01-05 00:30:00,8.49746,14160
2017-01-05 00:45:00,8.64183,12800
2017-01-05 01:00:00,8.78621,12480
2017-01-05 01:15:00,8.93058,14320
2017-01-05 01:30:00,9.07495,17120
2017-01-05 01:45:00,8.97642,17840
2017-01-05 02:00:00,8.87789,20240
2017-01-05 02:15:00,8.77935,21440
2017-01-05 02:30:00,8.68082,22480
2017-01-05 02:45:00,8.77116,23120
2017-01-05 03:00:00,8.86151,25360
2017-01-05 03:15:00,8.95185,28880
2017-01-05 03:30:00,9.04219,33840
2017-01-05 03:45:00,9.02028,35680
2017-01-05 04:00:00,8.99836,34320
2017-01-05 04:15:00,8.97644,34160
2017-01-05 04:30:00,8.95452,33040
2017-01-05 04:45:00,8.81246,31600
2017-01-05 05:00:00,8.6704,29520
2017-01-05 05:15:00,8.52834,28000
2017-01-05 05:30:00,8.38628,25680
2017-01-05 05:45:00,7.92044,22240
2017-01-05 06:00:00,7.4546,22320
2017-01-05 06:15:00,6.98877,22560
2017-01-05 06:30:00,6.52293,23600
2017-01-05 06:45:00,6.97416,24720
2017-01-05 07:00:00,7.42539,26000
2017-01-05 07:15:00,7.87661,27280
2017-01-05 07:30:00,8.32784,27360
2017-01-05 07:45:00,7.69542,27360
2017-01-05 08:00:00,7.06299,27360
2017-01-05 08:15:00,6.43057,28160
2017-01-05 08:30:00,5.79815,29360
2017-01-05 08:45:00,5.26181,30320
2017-01-05 09:00:00,4.72548,30240
2017-01-05 09:15:00,4.18915,23440
2017-01-05 09:30:00,3.65282,15840
2017-01-05 09:45:00,3.62665,10320
2017-01-05 10:00:00,3.60047,7280
2017-01-05 10:15:00,3.5743,4480
2017-01-05 10:30:00,3.54813,2240
2017-01-05 10:45:00,3.20567,80
2017-01-05 11:00:00,2.8632,0
2017-01-05 11:15:00,2.52074,0
2017-01-05 11:30:00,2.17828,0
2017-01-05 11:45:00,2.01063,0
2017-01-05 12:00:00,1.84299,0
2017-01-05 12:15:00,1.67535,0
2017-01-05 12:30:00,1.5077,0
2017-01-05 12:45:00,1.6345,0
2017-01-05 13:00:00,1.7613,0
2017-01-05 13:15:00,1.8881,0
2017-01-05 13:30:00,2.0149,0
2017-01-05 13:45:00,2.07574,0
2017-01-05 14:00:00,2.13659,0
2017-01-05 14:15:00,2.19743,0
2017-01-05 14:30:00,2.25827,0
2017-01-05 14:45:00,2.41636,0
2017-01-05 15:00:00,2.57444,0
2017-01-05 15:15:00,2.73253,0
2017-01-05 15:30:00,2.89061,0
2017-01-05 15:45:00,3.16081,0
2017-01-05 16:00:00,3.43101,0
2017-01-05 16:15:00,3.7012,0
2017-01-05 16:30:00,3.9714,320
2017-01-05 16:45:00,4.24703,1120
2017-01-05 17:00:00,4.52267,1280
2017-01-05 17:15:00,4.7983,2080
2017-01-05 17:30:00,5.07394,3520
2017-01-05 17:45:00,5.57262,4800
2017-01-05 18:00:00,6.07131,7760
2017-01-05 18:15:00,6.56999,11120
2017-01-05 18:30:00,7.06868,11600
2017-01-05 18:45:00,7.13924,12160
2017-01-05 19:00:00,7.20981,13280
2017-01-05 19:15:00,7.28038,15920
2017-01-05 19:30:00,7.35095,15600
2017-01-05 19:45:00,7.46551,15840
2017-01-05 20:00:00,7.58007,15920
2017-01-05 20:15:00,7.69463,14960
2017-01-05 20:30:00,7.80919,14560
2017-01-05 20:45:00,7.49677,13600
2017-01-05 21:00:00,7.18436,13360
2017-01-05 21:15:00,6.87194,11360
2017-01-05 21:30:00,6.55953,8880
2017-01-05 21:45:00,6.08144,8480
2017-01-05 22:00:00,5.60335,7120
2017-01-05 22:15:00,5.12526,5040
2017-01-05 22:30:00,4.64717,4400
2017-01-05 22:45:00,4.92585,3600
2017-01-05 23:00:00,5.20453,3280
2017-01-05 23:15:00,5.48321,3920
2017-01-05 23:30:00,5.7619,5120
2017-01-05 23:45:00,6.02327,6560
2017-01-06 00:00:00,6.11397,8560
2017-01-06 00:15:00,6.44073,10000
2017-01-06 00:30:00,6.76748,12080
2017-01-06 00:45:00,7.01519,15040
2017-01-06 01:00:00,7.26291,22400
2017-01-06 01:15:00,7.51063,36880
2017-01-06 01:30:00,7.75834,57120
2017-01-06 01:45:00,7.81557,71760
2017-01-06 02:00:00,7.87279,73760
2017-01-06 02:15:00,7.93001,68480
2017-01-06 02:30:00,7.98724,67600
2017-01-06 02:45:00,7.99055,65840
2017-01-06 03:00:00,7.99386,67600
2017-01-06 03:15:00,7.99716,71280
2017-01-06 03:30:00,8.00047,82640
2017-01-06 03:45:00,7.91421,95440
2017-01-06 04:00:00,7.82794,107280
2017-01-06 04:15:00,7.74168,111920
2017-01-06 04:30:00,7.65541,114000
2017-01-06 04:45:00,7.65352,111360
2017-01-06 05:00:00,7.65163,110560
2017-01-06 05:15:00,7.64974,106400
2017-01-06 05:30:00,7.64785,99280
2017-01-06 05:45:00,7.53826,92720
2017-01-06 06:00:00,7.42867,89280
2017-01-06 06:15:00,7.31908,90080
2017-01-06 06:30:00,7.20949,87520
2017-01-06 06:45:00,6.98609,83840
2017-01-06 07:00:00,6.76269,78480
2017-01-06 07:15:00,6.53929,54880
2017-01-06 07:30:00,6.31589,59440
2017-01-06 07:45:00,5.99697,60080
2017-01-06 08:00:00,5.67805,54320
2017-01-06 08:15:00,5.35914,44800
2017-01-06 08:30:00,5.04022,35520
2017-01-06 08:45:00,4.564,26400
2017-01-06 09:00:00,4.08777,16400
2017-01-06 09:15:00,3.61155,6480
2017-01-06 09:30:00,3.13532,2240
2017-01-06 09:45:00,3.3471,0
2017-01-06 10:00:00,3.55889,0
2017-01-06 10:15:00,3.77067,0
2017-01-06 10:30:00,3.98246,0
2017-01-06 10:45:00,3.83973,0
2017-01-06 11:00:00,3.697,0
2017-01-06 11:15:00,3.55427,0
2017-01-06 11:30:00,3.41154,0
2017-01-06 11:45:00,3.46446,0
2017-01-06 12:00:00,3.51739,0
2017-01-06 12:15:00,3.57031,0
2017-01-06 12:30:00,3.62324,0
2017-01-06 12:45:00,3.68903,0
2017-01-06 13:00:00,3.75482,0
2017-01-06 13:15:00,3.8206,240
2017-01-06 13:30:00,3.88639,960
2017-01-06 13:45:00,4.06417,1440
2017-01-06 14:00:00,4.24194,2080
2017-01-06 14:15:00,4.41972,4160
2017-01-06 14:30:00,4.5975,6160
2017-01-06 14:45:00,4.59319,7040
2017-01-06 15:00:00,4.58889,7920
2017-01-06 15:15:00,4.58458,8400
2017-01-06 15:30:00,4.58028,8480
2017-01-06 15:45:00,4.60601,9200
2017-01-06 16:00:00,4.63175,11200
2017-01-06 16:15:00,4.65748,11360
2017-01-06 16:30:00,4.68322,11200
2017-01-06 16:45:00,4.42472,11920
2017-01-06 17:00:00,4.16622,13040
2017-01-06 17:15:00,3.90772,11280
2017-01-06 17:30:00,3.64922,9760
2017-01-06 17:45:00,3.14226,8560
2017-01-06 18:00:00,2.6353,5760
2017-01-06 18:15:00,2.12834,4160
2017-01-06 18:30:00,1.62138,2720
2017-01-06 18:45:00,1.86431,2720
2017-01-06 19:00:00,2.10724,2320
2017-01-06 19:15:00,2.35017,1200
2017-01-06 19:30:00,2.5931,640
2017-01-06 19:45:00,3.17435,0
2017-01-06 20:00:00,3.75559,0
2017-01-06 20:15:00,4.33684,1120
2017-01-06 20:30:00,4.91809,4240
2017-01-06 20:45:00,5.53832,12160
2017-01-06 21:00:00,6.15856,24000
2017-01-06 21:15:00,6.7788,26160
2017-01-06 21:30:00,7.39903,22480
2017-01-06 21:45:00,7.50012,22640
2017-01-06 22:00:00,7.60121,24000
2017-01-06 22:15:00,7.7023,25200
2017-01-06 22:30:00,7.80339,30240
2017-01-06 22:45:00,7.80517,33360
2017-01-06 23:00:00,7.80695,32400
2017-01-06 23:15:00,7.80872,32000
2017-01-06 23:30:00,7.8105,33360
2017-01-06 23:45:00,7.71374,32240
2017-01-07 00:00:00,4.67423,29840
2017-01-07 00:15:00,4.5916,25360
2017-01-07 00:30:00,4.50898,21120
2017-01-07 00:45:00,4.81494,18000
2017-01-07 01:00:00,5.1209,15600
2017-01-07 01:15:00,5.42686,13360
2017-01-07 01:30:00,5.73283,12320
2017-01-07 01:45:00,6.06296,12160
2017-01-07 02:00:00,6.3931,11120
2017-01-07 02:15:00,6.72324,10480
2017-01-07 02:30:00,7.05337,10560
2017-01-07 02:45:00,7.08554,10960
2017-01-07 03:00:00,7.11771,12240
2017-01-07 03:15:00,7.14988,14160
2017-01-07 03:30:00,7.18205,16960
2017-01-07 03:45:00,7.1366,20320
2017-01-07 04:00:00,7.09115,22000
2017-01-07 04:15:00,7.04569,22160
2017-01-07 04:30:00,7.00024,22880
2017-01-07 04:45:00,6.74931,22960
2017-01-07 05:00:00,6.49837,23840
2017-01-07 05:15:00,6.24743,25760
2017-01-07 05:30:00,5.99649,24160
2017-01-07 05:45:00,5.87363,22480
2017-01-07 06:00:00,5.75077,20560
2017-01-07 06:15:00,5.6279,19360
2017-01-07 06:30:00,5.50504,17520
2017-01-07 06:45:00,5.4969,15600
2017-01-07 07:00:00,5.48877,14160
2017-01-07 07:15:00,5.48063,14080
2017-01-07 07:30:00,5.4725,14400
2017-01-07 07:45:00,5.28051,13040
2017-01-07 08:00:00,5.08851,10160
2017-01-07 08:15:00,4.89652,8960
2017-01-07 08:30:00,4.70453,6720
2017-01-07 08:45:00,4.59674,4160
2017-01-07 09:00:00,4.48895,1920
2017-01-07 09:15:00,4.38117,0
2017-01-07 09:30:00,4.27338,0
2017-01-07 09:45:00,4.34655,0
2017-01-07 10:00:00,4.41973,0
2017-01-07 10:15:00,4.4929,0
2017-01-07 10:30:00,4.56607,560
2017-01-07 10:45:00,4.52481,4480
2017-01-07 11:00:00,4.48355,7760
2017-01-07 11:15:00,4.44229,7680
2017-01-07 11:30:00,4.40103,6960
2017-01-07 11:45:00,4.56071,5600
2017-01-07 12:00:00,4.72039,5680
2017-01-07 12:15:00,4.88007,7040
