,DateTime,WindSpeed,PowerGenerated
118,2017-01-02 05:30:00,8.760639999999999,89840
119,2017-01-02 05:45:00,8.7342,84960
120,2017-01-02 06:00:00,8.70777,78400
121,2017-01-02 06:15:00,8.681339999999999,73040
122,2017-01-02 06:30:00,8.6549,69520
123,2017-01-02 06:45:00,8.64643,67600
124,2017-01-02 07:00:00,8.63795,66640
125,2017-01-02 07:15:00,8.629480000000001,70000
126,2017-01-02 07:30:00,8.621,72160
127,2017-01-02 07:45:00,8.15129,68960
128,2017-01-02 08:00:00,7.68158,62160
129,2017-01-02 08:15:00,7.211880000000001,56880
130,2017-01-02 08:30:00,6.74217,46960
131,2017-01-02 08:45:00,6.848319999999999,35440
132,2017-01-02 09:00:00,6.95447,29040
133,2017-01-02 09:15:00,7.06062,21520
134,2017-01-02 09:30:00,7.16677,15920
135,2017-01-02 09:45:00,7.15946,14320
136,2017-01-02 10:00:00,7.152139999999999,12560
137,2017-01-02 10:15:00,7.144830000000001,8480
138,2017-01-02 10:30:00,7.137519999999999,6560
139,2017-01-02 10:45:00,7.13647,6480
140,2017-01-02 11:00:00,7.13543,7280
141,2017-01-02 11:15:00,7.13438,9120
142,2017-01-02 11:30:00,7.13333,12320
143,2017-01-02 11:45:00,7.17208,16240
144,2017-01-02 12:00:00,7.21082,18160
145,2017-01-02 12:15:00,7.249569999999999,18720
146,2017-01-02 12:30:00,7.28832,18960
147,2017-01-02 12:45:00,7.256589999999999,20400
148,2017-01-02 13:00:00,7.22487,22400
149,2017-01-02 13:15:00,7.19314,21840
150,2017-01-02 13:30:00,7.161410000000001,20240
151,2017-01-02 13:45:00,7.1032399999999996,19840
152,2017-01-02 14:00:00,7.04507,18560
153,2017-01-02 14:15:00,6.9869,19280
154,2017-01-02 14:30:00,6.928719999999999,20240
155,2017-01-02 14:45:00,6.795710000000001,19360
156,2017-01-02 15:00:00,6.6627,18880
157,2017-01-02 15:15:00,6.52969,16000
158,2017-01-02 15:30:00,6.396669999999999,15440
159,2017-01-02 15:45:00,6.34703,14880
160,2017-01-02 16:00:00,6.29739,14480
161,2017-01-02 16:15:00,6.24774,15120
162,2017-01-02 16:30:00,6.1981,15280
163,2017-01-02 16:45:00,6.02359,15920
164,2017-01-02 17:00:00,5.849080000000001,16160
165,2017-01-02 17:15:00,5.674580000000001,16080
166,2017-01-02 17:30:00,5.50007,16480
167,2017-01-02 17:45:00,5.72912,18080
168,2017-01-02 18:00:00,5.9581800000000005,20240
169,2017-01-02 18:15:00,6.18724,23440
170,2017-01-02 18:30:00,6.41629,27440
171,2017-01-02 18:45:00,6.47486,30000
172,2017-01-02 19:00:00,6.53343,35760
173,2017-01-02 19:15:00,6.5920000000000005,40640
174,2017-01-02 19:30:00,6.65057,42720
175,2017-01-02 19:45:00,6.833010000000001,42800
176,2017-01-02 20:00:00,7.015439999999999,41360
177,2017-01-02 20:15:00,7.1978800000000005,43920
178,2017-01-02 20:30:00,7.380319999999999,45920
179,2017-01-02 20:45:00,7.4431,44320
180,2017-01-02 21:00:00,7.50588,44640
181,2017-01-02 21:15:00,7.56867,43440
182,2017-01-02 21:30:00,7.63145,43520
183,2017-01-02 21:45:00,7.68155,40320
184,2017-01-02 22:00:00,7.73165,36000
185,2017-01-02 22:15:00,7.78175,32160
186,2017-01-02 22:30:00,7.83185,32880
187,2017-01-02 22:45:00,7.860530000000001,33520
188,2017-01-02 23:00:00,7.88922,35120
189,2017-01-02 23:15:00,7.9179,36640
190,2017-01-02 23:30:00,7.94658,34960
191,2017-01-02 23:45:00,7.971610000000001,33920
192,2017-01-03 00:00:00,7.07062,35520
193,2017-01-03 00:15:00,6.99338,35760
194,2017-01-03 00:30:00,6.91613,35200
195,2017-01-03 00:45:00,7.40475,34160
196,2017-01-03 01:00:00,7.89337,33920
197,2017-01-03 01:15:00,8.38199,33440
198,2017-01-03 01:30:00,8.8706,33840
199,2017-01-03 01:45:00,8.69783,34560
200,2017-01-03 02:00:00,8.52505,36720
201,2017-01-03 02:15:00,8.352269999999999,36320
202,2017-01-03 02:30:00,8.17949,34640
